report_date,orders_all_np,AffiliatesAll_spend,DisplayAll_spend,SEMConversionXX_spend,SEMConversionOther_spend,SocialEngagement_spend,SocialConversion_spend,VideoEngagement_spend,VideoConversion_spend,VideoConversionPMAX_spend,OTTall_spend,TVall_spend,organic_seo_non_brand_clicks,organic_email_sends,covid_Q1_22,covid_Q2_22,search_terms_xxxx_core_brand_terms_searches,gcr_per_order_overall_ssl_avg_7d,gcr_per_order_overall_dom_protection_avg_7d,gcr_per_order_overall_dom_registration_avg_7d,gcr_per_order_overall_dom_marketplace_avg_7d,gcr_per_order_overall_o365_avg_7d,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_2qtr,brand_tracker_gen_pop_unaided_awareness_domains_web_hosting_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_brand_trust_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_proud_to_use_lag_1qtr,brand_tracker_gen_pop_describes_xxxx_aligns_values_lag_3qtr,brand_tracker_gen_pop_aided_awareness_lag_1qtr,cli,market_share_xxxx_net_adds_total_pct
2021-12-31,1039,1811.019,343.37325,1766.8,7580.95,180.34,1808.27,0,318.63575,0,0,0,226,43821,0,0,35.87274638,143.887118,15.34329386,19.64804843,551.4577381,42.27328914,0.22216578,0.421857128,0.24393737,0.256053342,0.222242489,0.712956028,102.8554,33
2022-01-01,1139,861.046,0,1809.32,9494.31,126.26,914.28,0,0,0,0,0,281,41326,1,0,34.31879117,145.9009751,15.22420114,19.51181571,544.6505953,41.12639943,0.222222222,0.421828909,0.244306418,0.256140351,0.222222222,0.712389381,102.6636,39.5
2022-01-02,1330,3324.949,0,2225.78,10603.18,202.61,1581.36,0,0,0,0,550.8650868,292,45130,1,0,41.3183714,137.2320069,15.05404957,19.71503229,571.0470239,40.38973229,0.222250371,0.421815778,0.244488081,0.256185931,0.222212129,0.712112003,102.6636,39.9
2022-01-03,1906,2947.646,0,3197.92,12298.58,212.07001,1481.14003,0,0,0,0,39477.31486,438,79376,1,0,63.20669008,135.0681897,14.97055929,19.74293657,590.9660714,41.88561086,0.222278426,0.421803341,0.244667608,0.25623286,0.222202079,0.711838924,102.6636,40.2
2022-01-04,1933,3604.21,0.81607,3556.74,13899.16,203.51,1576.43,0,0,0,0,23771.22081,436,55297,1,0,66.84385732,136.4903903,15.19942214,20.14662057,422.2255953,43.87482143,0.222306355,0.421791631,0.244844836,0.256281108,0.222192083,0.711570395,102.6636,37.5
2022-01-05,2004,2100.264,0.00395,3597.28,14146.56,219.10001,2432.2901,0,0,0,0,16401.92201,427,59630,1,0,67.36885799,141.0751579,15.319724,20.58288714,398.1505953,43.87384686,0.222334125,0.421780686,0.245019603,0.256330645,0.222182154,0.711306662,102.6636,40.7
2022-01-06,1998,2762.328,481.51764,3506.15,15054.66,228.79,2779.53009,0,0,0,0,18313.04447,425,65811,1,0,68.95555267,148.2018416,15.26143757,20.43101214,385.3778061,44.61577243,0.222361702,0.421770546,0.245191749,0.256381434,0.222172304,0.711047971,102.6636,38.7
2022-01-07,1905,3013.533,594.84077,3390.64,13691.89,215.2,2623.19003,0,0,0,0,18207.52146,413,55781,1,0,62.31687825,155.7822543,15.36535957,20.64365686,335.6195269,45.41442586,0.222389054,0.421761252,0.245361121,0.256433439,0.222162543,0.710794565,102.6636,39
2022-01-08,1437,2159.606,678.33271,2767.37,11636.34,185.43,1269.16,0,0,0,0,11725.95009,351,46830,1,0,46.25735322,162.9034621,15.66622229,20.56973343,356.6485744,44.97776686,0.222416149,0.421752851,0.245527568,0.256486621,0.222152883,0.710546685,102.6636,45.1
2022-01-09,1452,2930.235,613.66647,2820.03,12542.05,221.03002,1501.39999,0,0,0,0,19764.30595,375,46880,1,0,46.30213613,155.7696527,15.65354229,20.48430771,290.8378601,44.707442,0.222442955,0.421745392,0.245690945,0.256540936,0.222143336,0.710304567,102.6636,43.5
2022-01-10,2125,3305.22,1505.47511,3999.56,15464.07,208.65,1474.40003,0,0,0,511,36684.77934,529,82339,1,0,72.23377847,159.5372961,15.64680086,20.92846871,288.0337786,44.70292914,0.22246944,0.421738924,0.245851109,0.25659634,0.222133912,0.710068448,102.6636,41.4
2022-01-11,2110,2928.51,4003.62594,3797.3,13861.89,226.04,1451.31001,987.79387,850.95045,0,1342.16,18325.31958,542,78151,1,0,69.73002805,163.1280466,15.877674,21.34302157,320.5560009,44.50595529,0.222495573,0.421733504,0.246007924,0.256652786,0.222124623,0.709838558,102.6636,38.8
